scenario	scenario_title	parameter	regime	truth	n	median	q25	q75	mean
Base	theta1=1	stationary_var	shared	4.5	500	5.316791339368523	4.609737107762353	6.012560166205339	5.341729229416764
Base	theta1=1	theta	0	1.0	500	0.8227440416812897	0.09446819871664042	1.5253555476665497	0.8012106464384123
Base	theta1=1	theta	1	1.0	500	0.6352775990962982	-0.3285934776067733	1.6952740550041199	0.663470145589672
Theta1	theta1=3	stationary_var	shared	4.5	500	5.28783513095182	4.532183446895954	6.114956904287269	5.359961996182763
Theta1	theta1=3	theta	0	1.0	500	0.6997634172439575	0.04051974695175877	1.496170163154602	0.7788625933004077
Theta1	theta1=3	theta	1	3.0	500	1.810539722442627	0.9194035679101944	3.0173583626747136	1.9252550189852482
t5r5	theta1=5	stationary_var	shared	4.5	500	5.3070080850854975	4.59675823298512	6.190997421856135	5.3815877270090695
t5r5	theta1=5	theta	0	1.0	500	0.7671533823013306	0.05882810521870845	1.4837481677532198	0.7705317698568106
t5r5	theta1=5	theta	1	5.0	500	3.01350736618042	1.9213452041149142	3.9251061677932735	2.976647246837616
t7r5	theta1=7	stationary_var	shared	4.5	500	5.473111553308458	4.717532691931902	6.1575427314199915	5.443635696101604
t7r5	theta1=7	theta	0	1.0	500	0.810651034116745	0.05789711792021988	1.5693933367729187	0.8009264116710983
t7r5	theta1=7	theta	1	7.0	500	4.145684719085693	3.2429760694503784	5.162065863609314	4.1656079443842176
