scenario	theta1	node_class	n_nodes	pearson_r	rmse	mae	bias
r0	1	all nodes	1292	0.6487705836359061	1.4578782867697069	1.211052673379757	-0.5762160904266739
r0	1	internal nodes	646	0.7790797281106193	1.2708017657110986	0.9975481100110071	0.19860239486734432
r0	1	leaf nodes	646	0.7860155953158637	1.6235396731631495	1.424557236748507	-1.351034575720692
t3r0	3	all nodes	1292	0.7595748403635104	0.8831368031718628	0.6993563794297584	-0.1899908961517101
t3r0	3	internal nodes	646	0.7950969251041075	0.8737888405582205	0.6873413856463482	0.08060403326320803
t3r0	3	leaf nodes	646	0.7769395579070375	0.8923868490453879	0.7113713732131687	-0.4605858255666283
t5r0	5	all nodes	1292	0.8002772498313206	1.098209571982975	0.8887519747176437	-0.4343212574293879
t5r0	5	internal nodes	646	0.8524493630413906	0.9723779196254733	0.7480397553574949	0.06726472405237868
t5r0	5	leaf nodes	646	0.871630431652036	1.2110366259593037	1.0294641940777922	-0.9359072389111546
t7r0	7	all nodes	1292	0.8693211015640967	1.1017793476404159	0.8862414165992722	-0.2962654546107109
t7r0	7	internal nodes	646	0.8943210644793779	1.0979209693955063	0.844860880390986	0.14114017287556285
t7r0	7	leaf nodes	646	0.9043079728350663	1.1056242611011717	0.9276219528075581	-0.7336710820969846
