scenario	theta1	gene_id	distance_bin	n_nodes	median_root_distance	median_abs_error	q25_abs_error	q75_abs_error
Base	1	500	0-4	2	1.5	1.8648863941309586	1.4948140445173328	2.2349587437445844
Base	1	500	4-8	3	7.0	1.9272160874803332	1.7283474445498535	2.0978575908704773
Base	1	500	8-12	4	10.5	1.9285511154175277	1.3739967943069251	2.318976555247123
Base	1	500	12-16	18	14.5	1.7999408666852892	1.3237776452981445	2.7062000233607217
Base	1	500	16-20	18	18.0	1.6326237749452421	1.078981315842342	2.069935959446854
Base	1	500	20-24	41	22.0	1.2008262321619547	0.5842326120706476	1.6740826353587277
Base	1	500	24-28	96	27.0	0.872977815457457	0.3246686422792587	1.3464751398956347
Base	1	500	28-32	1110	32.0	0.7556458238406845	0.3335194647301516	1.3674208581113332
Theta1	3	500	0-4	2	1.5	1.2712689766685836	1.0580024630296425	1.4845354903075247
Theta1	3	500	4-8	3	7.0	1.2362862597803292	0.9591552133352645	1.6518053960586028
Theta1	3	500	8-12	4	10.5	0.6756379657017579	0.30364483929989416	1.3959534846039854
Theta1	3	500	12-16	18	14.5	0.5916964979457836	0.22076065776976406	0.8569343359545138
Theta1	3	500	16-20	18	18.0	0.3528289153426212	0.1460293645325007	0.8013809232003888
Theta1	3	500	20-24	41	22.0	0.714584799802729	0.3980886660966485	1.1688757057946224
Theta1	3	500	24-28	96	27.0	0.6110298593604355	0.3432168656442396	1.0295473315677408
Theta1	3	500	28-32	1110	32.0	0.64293785366232	0.3021554028699448	1.111918047710423
t5r5	5	500	0-4	2	1.5	0.2733032607218858	0.25891099596082184	0.2876955254829498
t5r5	5	500	4-8	3	7.0	0.9482737332368205	0.6327626157824453	0.954188945252748
t5r5	5	500	8-12	4	10.5	0.7983391303608118	0.653233321007599	0.9608761679747462
t5r5	5	500	12-16	18	14.5	0.6621135483669843	0.5561701949652784	0.7495832363668407
t5r5	5	500	16-20	18	18.0	0.27573831164741314	0.16390552522574417	0.543370334826197
t5r5	5	500	20-24	41	22.0	0.8041354451134914	0.49900378065004714	1.4085274034337059
t5r5	5	500	24-28	96	27.0	0.5254060023183912	0.2599169508379535	1.0325120928056146
t5r5	5	500	28-32	1110	32.0	0.8642542344621231	0.40904818975681584	1.4793368045492366
t7r5	7	500	0-4	2	1.5	1.0856398044232638	0.915444399094129	1.2558352097523986
t7r5	7	500	4-8	3	7.0	0.6200814956281149	0.595192056456278	1.338907655537003
t7r5	7	500	8-12	4	10.5	2.4074168968152048	2.3361715225684105	2.6304608748976643
t7r5	7	500	12-16	18	14.5	1.6012134662517712	0.41342270756140437	2.1137394122768867
t7r5	7	500	16-20	18	18.0	1.010947600177713	0.5604537573387087	1.6652510598335766
t7r5	7	500	20-24	41	22.0	0.9867381399183808	0.5460544931278943	1.5022460010386016
t7r5	7	500	24-28	96	27.0	0.7352917146072806	0.381967821109598	1.1322967468958987
t7r5	7	500	28-32	1110	32.0	0.8218875549805035	0.3803875622252305	1.34808776338178
