scenario	theta1	gene_id	regime	node_class	n_nodes	pearson_r	mae	rmse	bias	mean_sim_expr	mean_reconstructed_expr	median_infer_var	mean_infer_var	min_root_distance	max_root_distance
Base	1	500	0	all nodes	1047	0.7593158570274028	0.9878415632060251	1.2586489221137902	-0.5879529800663061	3.177610655695436	2.58965767562913	1.9800478134685289	2.234444840543087	0.0	32.0
Base	1	500	0	internal nodes	524	0.7749362908829427	0.9994399060168182	1.2680430059094971	-0.6550550527185622	3.2397192962123857	2.5846642434938234	2.513009425473418	3.1691860033129378	0.0	31.0
Base	1	500	0	leaf nodes	523	0.7487563110709318	0.9762210438315404	1.2491660294788292	-0.5207226051718853	3.115383260607708	2.5946606554358227	1.2820282658012088	1.297916409775588	32.0	32.0
Base	1	500	1	all nodes	245	0.5128061689107256	0.9895514941907219	1.2867431563332319	-0.5465233738369957	3.647399688264993	3.100876314427997	1.582888857210383	2.1812812825370527	15.0	32.0
Base	1	500	1	internal nodes	122	0.5005066060374528	1.0340658331901156	1.328219812014149	-0.6989891039444581	3.7953995876862368	3.0964104837417787	2.4613866179096604	3.0760483976694943	15.0	31.0
Base	1	500	1	leaf nodes	123	0.5385921705496022	0.9453990603864453	1.2442386506094687	-0.39529720251089473	3.5006030400585564	3.105305837547662	1.2998428722776625	1.2937886967959311	32.0	32.0
Theta1	3	500	0	all nodes	1047	0.7138219554649687	0.7579891348096084	0.9701347180118737	-0.14843563765705864	1.9347549744154755	1.7863193367584171	1.655592196831655	1.7402616309715797	0.0	32.0
Theta1	3	500	0	internal nodes	524	0.74115911123391	0.7847620372001893	1.0003026693610073	-0.04798614838393328	1.8240684353309753	1.7760822869470423	2.1229816934683403	2.4438857086581103	0.0	31.0
Theta1	3	500	0	leaf nodes	523	0.7092509781956984	0.7311650414010719	0.9389375123425941	-0.24907719096321093	2.045653151242011	1.7965759602788005	1.020093609546532	1.0352921917598357	32.0	32.0
Theta1	3	500	1	all nodes	245	0.7238740351997568	0.8556936424323507	1.0493637503602113	-0.008604776358706613	3.27699750815442	3.2683927317957133	1.3000598658347469	1.7455035519341686	15.0	32.0
Theta1	3	500	1	internal nodes	122	0.7674310928092388	0.8090510009419472	0.9836685006086014	0.10925436868643854	3.165305683229867	3.2745600519163047	2.0795868057346825	2.422402664550939	15.0	31.0
Theta1	3	500	1	leaf nodes	123	0.690452566128933	0.9019570754553522	1.1106930196175284	-0.12550571697259044	3.3877812694617004	3.26227555248911	1.0715184852696242	1.0741076841354207	32.0	32.0
t5r5	5	500	0	all nodes	1047	0.8387546583885187	0.9984380500145045	1.2581727388561157	-0.5899614053621653	1.712583606845219	1.1226222014830536	1.5439211766630363	2.0009098518234536	0.0	32.0
t5r5	5	500	0	internal nodes	524	0.8743887302771108	0.841666836965129	1.0709258140929505	-0.3448947012636422	1.4755126904798204	1.1306179892161783	1.972458492184868	2.783411389092149	0.0	31.0
t5r5	5	500	0	leaf nodes	523	0.8230006845411685	1.1555090168173205	1.4212491186104963	-0.8354966882448156	1.950107813681679	1.1146111254368634	1.172333919822344	1.2169121357072081	32.0	32.0
t5r5	5	500	1	all nodes	245	0.5705978127824999	0.8980164160044366	1.1079691246356989	-0.2127888212512499	2.325951893381635	2.1131630721303853	1.4689869957842638	1.847593016597235	15.0	32.0
t5r5	5	500	1	internal nodes	122	0.6013314472827256	0.8676430211923989	1.05919600178321	-0.019456386640472497	2.104118775138912	2.0846623884984385	1.9185808467119232	2.5474219516437087	15.0	31.0
t5r5	5	500	1	leaf nodes	123	0.5598489322999889	0.9281428726472707	1.1543117634737872	-0.4045494474505575	2.5459814903378324	2.1414320428872746	1.133002651632488	1.1534537476893503	32.0	32.0
t7r5	7	500	0	all nodes	1047	0.7981267354743233	0.9792017267323544	1.2354828079169198	-0.430905366861262	2.259703981438392	1.8287986145771298	1.7315953078904347	2.180275516952173	0.0	32.0
t7r5	7	500	0	internal nodes	524	0.8137780160834562	0.9650026550682982	1.2321157242071201	-0.33411933696622526	2.162626663867412	1.8285073269011867	2.2116229933374	3.0816841332006772	0.0	31.0
t7r5	7	500	0	leaf nodes	523	0.794407067898565	0.9934279476730146	1.2388471519615645	-0.527876456086882	2.356966915295359	1.8290904592084767	1.2387642184924152	1.2771433660645695	32.0	32.0
t7r5	7	500	1	all nodes	245	0.777896451888301	0.9468269437002296	1.2434004976459612	0.2085692486727013	3.6196555450694494	3.8282247937421503	1.5975607340618014	2.114746589872457	15.0	32.0
t7r5	7	500	1	internal nodes	122	0.8309388153887578	0.8439969480922757	1.1299338941012689	0.35727305786408153	3.4563533712059398	3.8136264290700206	2.2535130255052627	2.917818458457413	15.0	31.0
t7r5	7	500	1	leaf nodes	123	0.7293418087526967	1.0488209230837287	1.3465324379214445	0.06107441353978756	3.7816300589828495	3.842704472522637	1.3089548592233182	1.3182037608694923	32.0	32.0
